,q_Years of Potential Life Lost Rate,q_% With Access to Exercise Opportunities,q_% Driving Deaths with Alcohol Involvement,q_Chlamydia Rate,q_% With Annual Mammogram,q_% Vaccinated,q_High School Graduation Rate,q_Social Association Rate,q_Violent Crime Rate,q_Average Daily PM2.5,q_Presence of Water Violation,q_% Severe Housing Problems,q_% Long Commute - Drives Alone,q_Child Mortality Rate,q_% Children Uninsured,q_Other Primary Care Provider Ratio,q_Average Reading Performance,q_Suicide Rate (Age-Adjusted),q_Juvenile Arrest Rate,q_% less than 18 years of age,q_% Native Hawaiian/Other Pacific Islander,q_% Female,q_Hypertension Death Rate,q_% workers commuting by public transit,q_% Veterans in Civilian Adult Population,class
2853,0.7085459183673469,0.049744897959183666,0.1790497448979592,0.7582908163265306,0.7962372448979592,0.6597576530612245,0.45232780612244894,0.05548469387755102,0.3096301020408163,0.4886798469387755,0.3235012755102041,0.6948341836734694,0.4575892857142857,0.1956313775510204,0.4588647959183674,0.6210140306122449,0.2981505102040816,0.1210140306122449,0.17346938775510204,0.06983418367346939,0.08354591836734694,0.005420918367346939,0.9824617346938777,0.8832535885167464,0.6465242346938775,0.0
2854,0.8115433673469388,0.18909438775510204,0.5277423469387755,0.7471301020408163,0.6183035714285714,0.5333227040816326,0.8005420918367347,0.7630739795918368,0.5347576530612245,0.6356823979591837,0.3235012755102041,0.2755102040816326,0.5868941326530612,0.6823979591836735,0.6007653061224489,0.9403698979591836,0.6556122448979592,0.6399872448979592,0.971938775510204,0.2755102040816326,0.1836734693877551,0.9394132653061223,0.6608737244897959,0.6414673046251994,0.6851084183673469,1.0
2855,0.2190688775510204,0.7602040816326531,0.7219387755102041,0.4536033163265306,0.7962372448979592,0.9604591836734694,0.8359375,0.5991709183673469,0.3239795918367347,0.4684311224489796,0.3235012755102041,0.11511479591836735,0.6556122448979592,0.4406887755102041,0.39700255102040816,0.11798469387755102,0.9566326530612244,0.4228316326530612,0.8137755102040817,0.4882015306122449,0.5025510204081632,0.7608418367346939,0.03443877551020408,0.4853269537480064,0.5986926020408163,0.0
2856,0.2924107142857143,0.949936224489796,0.5326849489795918,0.8191964285714286,0.8601721938775511,0.9604591836734694,0.6640625,0.6278698979591837,0.4582270408163266,0.34518494897959184,0.3235012755102041,0.7155612244897959,0.2914540816326531,0.6444515306122449,0.5567602040816326,0.09008290816326532,0.7908163265306123,0.3364158163265306,0.9301658163265306,0.5698341836734694,0.5334821428571429,0.963966836734694,0.0543686224489796,0.8381180223285486,0.2646683673469388,0.0
2857,0.6795280612244898,0.16741071428571427,0.5876913265306123,0.5615433673469388,0.8298788265306123,0.8726084183673469,0.4016262755102041,0.7324617346938775,0.5848214285714286,0.5837053571428571,0.8168048469387755,0.35331632653061223,0.3789859693877551,0.6932397959183674,0.4964923469387755,0.7917729591836735,0.6932397959183674,0.6766581632653061,0.7981505102040817,0.19674744897959184,0.4795918367346938,0.9193239795918368,0.5507015306122449,0.6414673046251994,0.671875,0.0
2858,0.04591836734693878,0.7340561224489796,0.6991390306122449,0.02311862244897959,0.7562181122448979,0.028858418367346938,0.9896364795918368,0.021524234693877552,0.21364795918367346,0.2536670918367347,0.3235012755102041,0.18207908163265307,0.5868941326530612,0.1956313775510204,0.9269770408163264,0.5302933673469388,0.1009247448979592,0.1210140306122449,0.9925063775510204,0.008928571428571428,0.034119897959183666,0.4706632653061225,0.21731505102040816,0.10685805422647528,0.9703443877551021,0.0
2859,0.27168367346938777,0.5873724489795918,0.7704081632653061,0.6495535714285714,0.8601721938775511,0.8378507653061225,0.8568239795918368,0.6568877551020408,0.3734056122448979,0.43080357142857145,0.8168048469387755,0.3405612244897959,0.9312818877551021,0.5031887755102041,0.5057397959183674,0.7139668367346939,0.9492984693877552,0.5988520408163265,0.7380420918367347,0.3297193877551021,0.5006377551020408,0.7538265306122449,0.5714285714285714,0.3845295055821372,0.9180484693877552,0.0
2860,0.21332908163265307,0.8823341836734694,0.8083545918367347,0.4655612244897959,0.9314413265306124,0.9604591836734694,0.6500318877551021,0.24075255102040816,0.3070790816326531,0.3926977040816326,0.3235012755102041,0.49298469387755106,0.5345982142857143,0.4489795918367347,0.4416454081632653,0.052295918367346934,0.9438775510204082,0.4553571428571429,0.8919005102040817,0.2458545918367347,0.640625,0.8893494897959183,0.11399872448979592,0.7413078149920255,0.9815051020408164,0.0
2861,0.7474489795918368,0.045599489795918366,0.19626913265306126,0.5998086734693877,0.6183035714285714,0.8378507653061225,0.3439094387755102,0.734375,0.3603316326530612,0.36017219387755106,0.3235012755102041,0.6862244897959183,0.9773596938775512,0.1956313775510204,0.7302295918367347,0.0036670918367346936,0.9601403061224488,0.1210140306122449,0.9453125,0.07876275510204081,0.22735969387755106,0.2391581632653061,0.3378507653061225,0.10685805422647528,0.9298469387755102,0.0
2862,0.4225127551020408,0.5889668367346939,0.42075892857142855,0.4960140306122449,0.2700892857142857,0.28348214285714285,0.8413584183673469,0.4882015306122449,0.25605867346938777,0.3926977040816326,0.3235012755102041,0.12181122448979592,0.9440369897959184,0.1956313775510204,0.29336734693877553,0.45232780612244894,0.8316326530612245,0.8698979591836735,0.7869897959183674,0.8459821428571429,0.734375,0.24075255102040816,0.03826530612244898,0.8969696969696971,0.9923469387755102,0.0
