FIPS,"Hospitalization Rate per 100,000",Unemployment Initial Claims,"Hospitals per 100,000","Deaths per 100,000"
17063,NaN,31.989,2,1104.5
17065,NaN,25.5287,12.3,1384.3
17067,NaN,16.1324,5.6,1356.2
17069,NaN,22.609,25.6,2736.6
17071,NaN,10.0306,0,1669.4
17073,NaN,22.1789,4.1,1287.4
17075,NaN,18.2821,3.6,1800.5
17077,NaN,26.7935,3.5,1248.7
17079,NaN,21.4859,0,1144.5
17081,NaN,43.003,5.3,1575.9
17083,NaN,23.5881,4.6,1602.1
17085,NaN,22.4657,4.7,1273.1
17087,NaN,29.2408,0,1613.7
17089,NaN,26.882,0.9,810
17091,NaN,28.65,1.8,1488.8
17093,NaN,29.48,0,652.8
17095,NaN,30.339,4,1630.3
17097,NaN,24.2861,1.1,821.5
17099,NaN,31.987,3.7,1461.2
17101,NaN,22.4616,6.3,1649.2
17103,NaN,25.2563,2.9,1408.4
17105,NaN,29.1686,2.8,1526.8
17107,NaN,21.1386,3.5,1431.3
17109,NaN,29.761,3.3,1188.4
17111,NaN,29.678,1,942.4
17113,NaN,23.0505,1.2,863.3
17115,NaN,33.7997,1.9,1513.7
17117,NaN,23.5202,4.4,1544.8
17119,NaN,25.2049,2.6,1464.1
17121,NaN,38.915,5.3,1879.3
17123,NaN,28.3193,0,1803.4
17125,NaN,25.549,7.4,1747.1
17127,NaN,24.7198,7.1,2081
17129,NaN,20.8724,0,1342.8
17131,NaN,20.6959,6.4,1608.9
17133,NaN,17.0927,0,812.6
17135,NaN,31.357,7,1489.5
17137,NaN,22.2906,2.9,1527.5
17139,NaN,17.1881,0,1209.5
17141,NaN,32.2107,2,1300
17143,NaN,36.645,2.2,1375.8
17145,NaN,40.353,14.2,1360.2
17147,NaN,18.5315,12.2,1164.9
17149,NaN,18.679,6.4,1569.4
17151,NaN,18.85,0,0
17153,NaN,26.9008,0,2068.5
17155,NaN,27.5138,0,0
17157,NaN,27.206,9.3,1439
17159,NaN,24.3811,6.3,1547.9
17161,NaN,24.4993,2.1,1375.1
17163,NaN,27.1236,1.5,1465.2
17165,NaN,31.364,8.4,2041.3
17167,NaN,27.4094,2,1327.4
17169,NaN,21.944,14.5,2041.4
17171,NaN,20.2416,0,1563.1
17173,NaN,26.1457,4.6,1315.5
17175,NaN,23.0499,0,1732.1
17177,NaN,29.3013,2.2,1351.9
17179,NaN,31.683,1.5,1287
17181,NaN,24.8311,5.9,1811.1
17183,NaN,27.7015,3.9,1783.7
17185,NaN,19.0469,8.7,1212.2
17187,NaN,15.7595,5.9,1297.6
17189,NaN,23.9509,7.1,1221.9
17191,NaN,34.644,6.1,1420.5
17193,NaN,21.6741,0,1844.1
17195,NaN,27.3218,3.6,1432.8
17197,NaN,31.291,0.7,928.2
17199,NaN,32.5,4.5,1513.7
17201,NaN,47.437,1.4,1493.9
17203,NaN,23.4625,2.6,936
18001,NaN,38.3739,2.8,1077.6
18003,NaN,64.758,2.9,1275.6
18005,NaN,50.9207,1.2,1235
18007,NaN,37.639,0,1421.5
18009,NaN,59.23,8.4,1835.7
18011,NaN,31.5216,1.5,934.3
18013,NaN,49.325,0,1634.5
18015,NaN,41.489,0,1122.9
18017,NaN,53.1075,7.9,1565
18019,NaN,46.3365,3.4,1686.3
18021,NaN,52.223,3.8,1654.6
18023,NaN,47.7538,3.1,1451.2
18025,NaN,60.486,0,2017.4
18027,NaN,25.9456,3,1375.7
18029,NaN,31.6241,4,1503
18031,NaN,54.2678,3.7,1339.9
18033,NaN,47.9673,4.6,1327.9
18035,NaN,62.4987,2.6,1645.9
18037,NaN,40.6384,2.3,1141.8
18039,NaN,60.9527,1.5,1154.4
18041,NaN,71.116,4.3,2139.1
